date,home,away,hscore,ascore
2021/04/30,東北楽天,千葉ロッテ,8,1
2021/04/30,オリックス,福岡ソフトバンク,5,4
2021/05/01,読　売,中　日,6,9
2021/05/01,横浜DeNA,東京ヤクルト,10,2
2021/05/01,阪　神,広島東洋,,
2021/05/01,北海道日本ハム,埼玉西武,5,4
2021/05/01,東北楽天,千葉ロッテ,3,0
2021/05/01,オリックス,福岡ソフトバンク,0,13
2021/05/02,横浜DeNA,東京ヤクルト,8,7
2021/05/02,阪　神,広島東洋,7,3
2021/05/02,北海道日本ハム,埼玉西武,,
2021/05/02,東北楽天,千葉ロッテ,5,6
2021/05/02,オリックス,福岡ソフトバンク,5,4
2021/05/03,中　日,横浜DeNA,1,2
2021/05/03,広島東洋,読　売,2,3
2021/05/03,埼玉西武,オリックス,3,6
2021/05/03,福岡ソフトバンク,東北楽天,4,7
2021/05/04,東京ヤクルト,阪　神,5,11
2021/05/04,中　日,横浜DeNA,8,4
2021/05/04,広島東洋,読　売,1,1
2021/05/04,埼玉西武,オリックス,6,6
2021/05/04,福岡ソフトバンク,東北楽天,6,4
2021/05/05,東京ヤクルト,阪　神,2,2
2021/05/05,中　日,横浜DeNA,0,4
2021/05/05,広島東洋,読　売,0,4
2021/05/05,埼玉西武,オリックス,6,2
2021/05/05,福岡ソフトバンク,東北楽天,5,5
2021/05/07,読　売,東京ヤクルト,4,6
2021/05/07,横浜DeNA,阪　神,12,6
2021/05/07,北海道日本ハム,東北楽天,6,1
2021/05/07,千葉ロッテ,オリックス,7,5
2021/05/07,福岡ソフトバンク,埼玉西武,2,2
2021/05/08,横浜DeNA,阪　神,1,4
2021/05/08,中　日,広島東洋,3,4
2021/05/08,北海道日本ハム,東北楽天,4,1
2021/05/08,千葉ロッテ,オリックス,2,5
2021/05/08,福岡ソフトバンク,埼玉西武,0,2
2021/05/09,読　売,東京ヤクルト,7,5
2021/05/09,横浜DeNA,阪　神,2,3
2021/05/09,中　日,広島東洋,2,0
2021/05/09,北海道日本ハム,東北楽天,3,6
2021/05/09,千葉ロッテ,オリックス,7,4
2021/05/09,福岡ソフトバンク,埼玉西武,3,1
2021/05/11,横浜DeNA,読　売,2,4
2021/05/11,阪　神,中　日,4,4
2021/05/11,北海道日本ハム,オリックス,1,9
2021/05/11,東北楽天,埼玉西武,3,3
2021/05/11,福岡ソフトバンク,千葉ロッテ,1,4
2021/05/12,東京ヤクルト,広島東洋,0,0
